id,accession,source,cross,photo
AUS2,AUS2_B_1_14_merged,dunningetal2019,C4,C4
BF3,BF3_B_1_14_merged,dunningetal2019,C4,C4
CAM01-2,CAM01-2_ATCACG_L001,dunningetal2019,C4,C4
CAM01-7,CAM01-7_CGATGT_L001,dunningetal2019,C4,C4
EML11-2,EML11-2_GTGGCC_L001,dunningetal2019,C3 x C4,C3 x C4
GMT-1,GMT-1_TGACCA_L001,dunningetal2019,C3,C3
GMT-7,GMT-7_GTGAAA_L001,dunningetal2019,C3,C3
GMT-9,GMT-9_GTCCGC_L001,dunningetal2019,C3,C3
H05_EML_E,hybrid_H05_EML11-200_E,this_study,C3 x C4,C3 x C4
H06_TAN16-02_Y2,hybrid_H06_TAN16-2-3C_Y2,this_study,C3-C4 x C4,C3-C4 x C4
H07_TAN16-02_X3,hybrid_H07_TAN16-2-3C_X3,this_study,C3-C4 x C4,C3-C4 x C4
H08_EML_I,hybrid_H08_EML11-200_I,this_study,C3 x C4,C3 x C4
H10_EML_H,hybrid_H10_EML11-200_H,this_study,C3 x C4,C3 x C4
H11_TAN16-02_Y1,hybrid_H11_TAN16-2-3C_Y1,this_study,C3-C4 x C4,C3-C4 x C4
H12_KWT3_X1,hybrid_H12_KWT3-5_X1,this_study,C3 x C4,C3 x C4
H14_TAN16-02_X2,hybrid_H14_TAN16-2-3C_X2,this_study,C3-C4 x C4,C3-C4 x C4
H18_TWN10_X7,hybrid_H18_TWN10-2_X7,this_study,C3-C4 x C4,C3-C4 x C4
H19_EML_X1,hybrid_H19_EML11-200_X1,this_study,C3 x C4,C3 x C4
H20_TWN11_X1,hybrid_H20_TWN11-1_X1,this_study,C3 x C4,C3 x C4
H21_EML11-2,hybrid_H21_EML11-2,this_study,C3 x C4,C3 x C4
H23_TAN16-02_X1,hybrid_H23_TAN16-2-3C_X1,this_study,C3-C4 x C4,C3-C4 x C4
H26_EML_G,hybrid_H26_EML11-200_G,this_study,C3 x C4,C3 x C4
KWT3,KWT3_B_1_14_merged,dunningetal2019,C3,C3
LO1,LO1_B_1_14_merged,dunningetal2019,C3-C4,C3-C4
LO2,LO2_B_1_14_ATCACG_L002,dunningetal2019,C4,C4
LO4,LO4_B_14_AGTCAA_L002,dunningetal2019,C3-C4,C3-C4
MAJ,MAJ_B_1_14_merged,dunningetal2019,C4,C4
MDB8,MDB8_B_1_14_merged,dunningetal2019,C4,C4
A_TWN2,parent_A_TWN2-1,this_study,C4,C4
B_Aus1,parent_B_Aus1-1,this_study,C4,C4
K_EML,parent_K_EML11-200,this_study,C3,C3
S_TWN10,parent_S_TWN10-2,this_study,C4,C4
T_TAN16-02,parent_T_TAN16-2-3C,this_study,C3-C4,C3-C4
U_KWT3,parent_U_KWT3-5,this_study,C3,C3
PHIL-1,PHIL-1_ACAGTG_L001,dunningetal2019,C4,C4
PHIL-13,PHIL-13_GCCAAT_L001,dunningetal2019,C4,C4
PHIL-17,PHIL-17_CAGATC_L001,dunningetal2019,C4,C4
SFD3,SFD3_B_1_14_merged,dunningetal2019,C4,C4
TAN02-1,TAN02-1_ACTTGA_L001,dunningetal2019,C3-C4,C3-C4
TAN02-2,TAN02-2_GATCAG_L001,dunningetal2019,C3-C4,C3-C4
TAN02-3,TAN02-3_TAGCTT_L001,dunningetal2019,C3-C4,C3-C4
TAN03-1,TAN03-1_GGCTAC_L001,dunningetal2019,C4,C4
TAN03-3,TAN03-3_CTTGTA_L001,dunningetal2019,C4,C4
TAN03-8,TAN03-8_AGTCAA_L001,dunningetal2019,C4,C4
TW10,TW10_B_1_14_merged,dunningetal2019,C4,C4
ZAM03-2,ZAM03-2_AGTTCC_L001,dunningetal2019,C3-C4,C3-C4
ZAM03-4,ZAM03-4_ATGTCA_L001,dunningetal2019,C3-C4,C3-C4
ZAM03-8,ZAM03-8_CCGTCC_L001,dunningetal2019,C3-C4,C3-C4
ZAM07-11,ZAM07-11_ATTCCT_L001,dunningetal2019,C3-C4,C3-C4
ZIM02-1,ZIM02-1_GTTTCG_L001,dunningetal2019,C3,C3
ZIM02-10,ZIM02-10_GAGTGG_L001,dunningetal2019,C3,C3
ZIM02-5,ZIM02-5_CGTACG_L001,dunningetal2019,C3,C3
ZIM03-13,ZIM03-13_ACTGAT_L001,dunningetal2019,C3,C3
